Retailer,Residential 2012-13,Residential 2013-14,Residential 2014-15,Residential 2015-16,Residential Q1 2016-17,Residential Q2 2016-17,Residential Q3 2016-17,Small business 2012-13,Small business 2013-14,Small business 2014-15,Small Business 2015-16,Small business Q1 2016-17,Small business Q2 2016-17,Small business Q3 2016-17
ActewAGL,2737,3680,3406,5422,2629,2033,692,107,141,143,161,63,61,28
Alinta, -, -, -, -, -, -, -, -, -, -, -, -,1,0
EnergyAustralia,392,512,265,109,37,11,21,24,22,4,9,7,1,0
ERM Power Retail,-,-,-,-,-,-, -,-,-,-,1,0,0,0
GoEnergy,-,-,-,-,-,-, -,-,-,-,1,0, -, -
Momentum Energy,-,-,-,-,-,-, -,0,7,0,0,0,0,0
Origin Energy,0,2,788,4349,1277,1196,566,-,-,123,570,181,158,81
Powerdirect,-,-,-,0,0,0,0,0,9,10,3,0,0,0
Red Energy,0,1,0,0,0,0,0,-,-,-,0,0,0,0
TOTAL,3129,4195,4459,9880,3943,3943,1279,131,179,280,745,251,221,109
