Retailer,Residential 2013 (Jan-June),Residential 2013-14,Residential 2014-15,Residential 2015-16,Residential Q1 2016-17,Residential Q2 2016-17,Residential Q3 2016-17,Small business 2013 (Jan-June),Small business 2013-14,Small business 2014-15,Small business 2015-16,Small business Q1 2016-17,Small business Q2 2016-17,Small business Q3 2016-17
AGL,12413,36296,33073,15011,3228,2982,2732,1351,3877,3516,2148,524,336,238
Alinta Energy,246,1585,725,1277,280,366,525,-,-,12,151,0,0,107
Click Energy, -, -, -,4,12,8,22, -, -, -, -, -, -,1
Diamond Energy,4,11,10,6,2,1,1,1,0,2,0,0,0,0
EnergyAustralia,9449,11809,6469,3124,631,610,593,254,583,297,204,17,14,26
ERM Power,-,-,-, -, -, -, -,0,1,16,23,3,1,3
GoEnergy,-,-,-, -, -, -, -,-,-,-,2, -, -, -
Lumo Energy,1758,2850,1865,1457,318,300,273,44,90,70,420,12,11,6
M2 Energy,0,9,127,179,75,37,20,-,-,1,61,11,7,6
Momentum Energy,83,226,171,46,8,6,8,118,384,193,59,5,4,9
Origin Energy,3059,20846,47063,81138,20948,18224,9507,180,828,1926,4079,1276,1143,622
Pacific Hydro Retail,-,-,-,1,0,0,0,-,-,-, -, -, -, -
Powerdirect,145,3163,1596,374,314,126,135,84,1560,858,211,236,148,39
QEnergy ,3,11,5,6,2,1,0,8,10,3,1,1,1,2
Red Energy ,65,135,90,80,9,14,14,8,0,1,2,0,0,1
Sanctuary Energy ,20,60,52,33,1,3,2,0,1,3,4,0,0,0
Savant Energy,-,-,-,14,9,3,1,-,-,-, -, -,0,0
Simply Energy,1516,2932,3011,3449,923,1262,884,100,162,104,144,34,32,32
Urth Energy,-,-,-, -, -,2,0,-,-,-, -, -, -, -
TOTAL,28761,79933,94257,106199,26760,23945,14717,2148,7496,7002,7509,2119,1697,1092
