Quarter - Year,Residential electricity customers with debt,Average residential electricity debt ($),Residential gas customers with debt,Average residential gas debt ($),Small business electricity customers with debt,Average small business electricity debt ($),Small business gas customers with debt,Average small business gas debt ($)
Mar-13,46503,600,26998,205,6925,1505,611,1113
Jun-13,39626,695,16626,266,5401,1453,433,1544
Sep-13,38267,629,14423,273,5561,1455,374,1623
Dec-13,38255,630,16716,272,3790,1511,368,1444
Mar-14,38932,670,20308,259,3991,1603,351,1535
Jun-14,38754,667,16970,287,3449,1594,322,1571
Sep-14,33799,682,13376,311,3312,1620,295,1416
Dec-14,36115,714,16837,324,3302,1572,324,1577
Mar-15,32511,730,15394,342,3278,1662,365,1726
Jun-15,31610,742,13419,377,3261,1490,305,1769
Sep-15,29694,720,12212,381,3081,1629,293,1812
Dec-15,31666,758,14604,397,3174,1559,256,2487
Mar-16,29253,776,14034,406,3442,1499,353,1971
Jun-16,28254,728,12191,378,3088,1441,448,1586
Sep-16,31637,772,14459,375,4188,1584,405,1090
Dec-16,36615,814,16610,393,4822,1550,465,1130
Mar-17,37185,876,18953,368,4134,1545,380,1592
