Quarter/Financial year,Residential electricity customers with debt,Average residential electricity debt ($),Small business electricity customers with debt,Average small business electricity debt ($)
Sep-12,4602,898,682,2375
Dec-12,9180,720,1362,1596
Mar-13,9296,790,1340,1742
Jun-13,7076,800,940,1918
Sep-13,6812,705,919,1551
Dec-13,9112,643,1067,844
Mar-14,8603,668,942,731
Jun-14,5945,704,498,1136
Sep-14,3395,642,172,1612
Dec-14,4448,719,297,1052
Mar-15,5107,701,292,943
Jun-15,4229,706,274,1138
Sep-15,3529,701,242,1395
Dec-15,3583,569,257,1239
Mar-16,4605,754,220,802
Jun-16,3676,739,188,885
Sep-16,3032,785,187,972
Dec-16,4369,739,205,804
Mar-17,4623,759,172,684
