Retailer,ELEC 2012-13,ELEC 2013-14,ELEC 2014-15,ELEC 2015-16,ELEC Q1 2016-17,ELEC Q2 2016-17,ELEC Q3 2016-17,GAS 2012-13,GAS 2013-14,GAS 2014-15,GAS 2015-16,GAS Q1 2016-17,GAS Q2 2016-17,GAS Q3 2016-17
AGL,5481,3653,5246,4037,568,1101,1281,1203,935,1501,916,118,182,225
Australian Power & Gas,527,612,-,-,-, -, -,85,106,-,-,-,-,-
Click Energy,242,796,718,350,23,11,74,-,-,-,-,-,-,-
Diamond Energy,0,12,18,10,3,8,4,-,-,-,-,-,-,-
EnergyAustralia,211,519,504,1820,455,233,303,-,-,-,-,-,-,-
Ergon Energy,6645,12454,12994,8381,3050,2332,2975,-,-,-,-,-,-,-
Locality Planning Energy, -, -, -,6,9,7,17,-,-,-,-,-,-,-
Lumo Energy,347,333,538,1088,341,249,189,-,-,-,-,-,-,-
M2 Energy,0,6,52,73,9,22,33,-,-,-,-,-,-,-
Metered Energy Holdings,-,-,-,184,27,31,88,-,-,-,-,-,-,-
Origin Energy,5701,6722,9256,5362,1642,464,2040,448,534,965,486,108,57,143
Powerdirect,100,143,299,312,135,167,158,-,-,-,-,-,-,-
QEnergy,52,49,50,25,2,4,5,-,-,-,-,-,-,-
Sanctuary Energy,0,3,9,7,1,0,2,-,-,-,-,-,-,-
Simply Energy,0,3,8,12,4,4,7,-,-,-,-,-,-,-
Urth, -, -, -, -,1,0,0, -, -, -, -,-,-,-
TOTAL,19306,25305,29692,21667,6270,4633,7176,1736,1575,2466,1410,226,239,368
