Retailer,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sept 2016,ELEC Dec 2016,ELEC March 2017,GAS June 2014,GAS June 2015,GAS June 2016,GAS Sept 2016,GAS Dec 2016,GAS March 2017
1st Energy, -, -,3,5,8,17, -, -, -,-,-,-
ActewAGL,416,420,376,360,360,315,129,172,217,212,179,205
AGL,4743,6293,10994,11632,11095,9852,1996,2858,5167,5511,5508,4656
Alinta Energy, -, -, -, -,26,76, -, -, -, -, -, -
Click Energy,0,27,74,7,112,73,-,-,-,-,1,0
CovaU,0,2,9,109,2,6,-,-,2,0,0,2
Diamond Energy,0,2,5,5,10,10,-,-,-,-, -, -
EnergyAustralia,3517,5157,3360,2737,2677,2815,945,443,487,380,382,401
Lumo Energy,209,183,122,87,12,16,48,48,39,28,5,8
M2 Energy,240,282,230,267,307,329,-,-,3,6,14,24
Momentum Energy,14,169,141,132,109,128,-,-,-,-, -, -
Next Business Energy, -, -,1,0,0,0, -, -,-,-, -, -
Origin Energy,8714,8621,7320,8713,8820,9542,766,854,1138,1614,1863,1922
People Energy, -, -, -, -, -,1, -, -, -, -, -, -
Powerdirect,24,75,104,118,118,136,-,-,-,-,-,-
Powershop,-,-,31,77,116,133,-,-,-,-,-,-
QEnergy ,20,17,29,30,32,37,-,-,-,-,-,-
Red Energy ,347,301,503,573,670,669,-,-,12,29,64,55
Sanctuary Energy ,0,12,8,7,1,2,-,-,-,-,-,-
Simply Energy,49,676,645,691,801,764,-,-,-,-,-,2
TOTAL,18293,22237,23955,25550,25276,24921,3884,4375,7065,7780,8016,7275
