Retailer,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017,GAS June 2014,GAS June 2015,GAS June 2016,GAS Sep 2016,GAS Dec 2016,GAS March 2017
1st Energy, -, -, -, -,41,92, -, -, -, -, -, -
ActewAGL,124,153,145,23,160,43,42,46,32,73,107,26
AGL,4300,2993,4991,2626,6533,7303,1168,905,1315,994,2345,1889
Alinta Energy,-,-,-,31,176,285,-,-,-,-, -, -
Click Energy,25,78,112,148,181,248,-,-,-,-, -, -
CovaU,-,33,62,93,69,71,-,5,14,20,10,11
Diamond Energy,5,58,79,53,57,102,-,-,-,-, -, -
EnergyAustralia ,16669,60034,58617,62543,61409,64093,3976,14022,15063,16783,16699,17091
Enova Energy, -, -, -, -, -,3, -, -, -, -, -, -
Lumo Energy,1428,1810,1136,911,509,80,371,530,462,406,206,38
M2 Energy,9,36,22,37,45,36,-,-,-,-,3,2
Mojo Energy, -, -, -, -, -,10, -, -, -, -, -, -
Momentum Energy,278,68,103,487,417,179,-,-,-,-, -, -
Next Business Energy,-,-,0,2,3,,-,-,-,-, -, -
OC Energy, -, -, -, -, -,25,,,,,,
Origin Energy,35928,9244,6243,6788,5357,7390,5027,2377,2983,2405,1444,1769
People Energy, -, -, -, -, -,7, -, -, -, -, -, -
Powerdirect,162,195,205,261,235,233,-,-,-,-, -, -
Powershop,-,-,69,275,280,258,-,-,-,-, -, -
QEnergy ,25,23,29,36,30,27,-,-,-,-, -, -
Red Energy ,1685,1945,2942,3745,4527,4755,-,-,52,156,368,369
Sanctuary Energy,29,29,66,42,73,52,-,-,-,-, -, -
Simply Energy,293,1139,957,996,898,1035,-,-,-,-, -, -
TOTAL,60960,77838,75778,79097,81000,86327,10584,17885,19921,20837,21182,21195
